violation_id,rule_id,rule_name,rule_category,rule_type,object_id,event_id,activity,timestamp,actor,severity,response_mode,condition_met,threshold_level,observed_value,p90_threshold,p95_threshold,detected_at
VIO-DET-0033,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-004,EVT-00079,,2026-02-02T12:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0034,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-005,EVT-00098,,2026-02-02T12:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0035,DG09,Rework Justification,Quality,Deterministic,BOM-PO-NTS-2026-002,EVT-00027,,2026-02-02T13:00:00Z,,High,Hard Stop,ValidateBOM status=Incomplete (no documented justification),,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0036,DG09,Rework Justification,Quality,Deterministic,BOM-PO-NTS-2026-006,EVT-00111,,2026-02-02T13:00:00Z,,High,Hard Stop,ValidateBOM status=Incomplete (no documented justification),,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0037,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-008,EVT-00150,,2026-02-03T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0038,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-010,EVT-00194,,2026-02-03T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0039,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-011,EVT-00213,,2026-02-04T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0040,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-007,EVT-00133,,2026-02-05T09:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0041,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-007,EVT-00136,,2026-02-05T23:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0042,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-013,EVT-00251,,2026-02-06T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0043,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-007,EVT-00139,,2026-02-06T09:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.052516+00:00
STAT-0002,DG03,Communication Traceability,Communication,Statistical,PO-NTS-2026-007,EVT-00139,,2026-02-06T09:00:00Z,,Medium,Intervention Package,Communication via WhatsApp (Zalo/WhatsApp); count=5,Warning,5.0,4.100000000000001,5.0,2026-06-14T17:09:41.052516+00:00
STAT-0003,DG05,Vendor Communication Traceability,Communication,Statistical,VQ-PO-NTS-2026-007,EVT-00139,,2026-02-06T09:00:00Z,,Medium,Intervention Package,Vendor quote via WhatsApp (non-ERP/CRM); count=2,Warning,2.0,2.0,2.0,2026-06-14T17:09:41.052516+00:00
STAT-0004,DG07,Negotiation Auditability,Traceability,Statistical,BOM-PO-NTS-2026-006,EVT-00113,,2026-02-06T19:00:00Z,,Medium,Intervention Package,ValidateBOM version=v1.2 without ReturnOrderForRevision reason,Warning,2.0,2.0,2.0,2026-06-14T17:09:41.052516+00:00
VIO-DET-0044,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-012,EVT-00232,,2026-02-07T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.052516+00:00
VIO-DET-0045,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-006,EVT-00115,,2026-02-07T03:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.052516+00:00
VIO-DET-0046,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-010,EVT-00196,,2026-02-07T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.052516+00:00
VIO-DET-0047,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-009,EVT-00175,,2026-02-07T09:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.052516+00:00
VIO-DET-0048,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-006,EVT-00118,,2026-02-07T13:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.052516+00:00
STAT-0005,DG05,Vendor Communication Traceability,Communication,Statistical,VQ-PO-NTS-2026-006,EVT-00118,,2026-02-07T13:00:00Z,,Medium,Intervention Package,Vendor quote via Zalo (non-ERP/CRM); count=2,Warning,2.0,2.0,2.0,2026-06-14T17:09:41.052516+00:00
VIO-DET-0049,DG09,Rework Justification,Quality,Deterministic,BOM-PO-NTS-2026-009,EVT-00176,,2026-02-07T13:00:00Z,,High,Hard Stop,ValidateBOM status=Incomplete (no documented justification),,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0050,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-010,EVT-00199,,2026-02-07T20:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0051,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-014,EVT-00270,,2026-02-08T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0052,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-010,EVT-00202,,2026-02-08T06:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0053,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-011,EVT-00215,,2026-02-08T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0054,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-011,EVT-00218,,2026-02-08T20:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0055,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-015,EVT-00291,,2026-02-09T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0056,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-017,EVT-00331,,2026-02-09T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0057,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-011,EVT-00221,,2026-02-09T06:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0058,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-007,EVT-00142,,2026-02-09T15:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0059,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-012,EVT-00234,,2026-02-10T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0060,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-006,EVT-00121,,2026-02-10T19:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
STAT-0006,DG07,Negotiation Auditability,Traceability,Statistical,BOM-PO-NTS-2026-009,EVT-00178,,2026-02-10T19:00:00Z,,Medium,Intervention Package,ValidateBOM version=v1.2 without ReturnOrderForRevision reason,Warning,2.0,2.0,2.0,2026-06-14T17:09:41.053105+00:00
VIO-DET-0061,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-012,EVT-00237,,2026-02-10T20:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0062,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-009,EVT-00180,,2026-02-11T03:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0063,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-012,EVT-00240,,2026-02-11T06:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0064,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-013,EVT-00253,,2026-02-11T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0065,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-010,EVT-00205,,2026-02-11T12:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0066,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-009,EVT-00183,,2026-02-11T13:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
STAT-0007,DG03,Communication Traceability,Communication,Statistical,PO-NTS-2026-009,EVT-00183,,2026-02-11T13:00:00Z,,Medium,Intervention Package,Communication via Zalo (Zalo/WhatsApp); count=5,Warning,5.0,4.100000000000001,5.0,2026-06-14T17:09:41.053105+00:00
STAT-0008,DG05,Vendor Communication Traceability,Communication,Statistical,VQ-PO-NTS-2026-009,EVT-00183,,2026-02-11T13:00:00Z,,Medium,Intervention Package,Vendor quote via Zalo (non-ERP/CRM); count=2,Warning,2.0,2.0,2.0,2026-06-14T17:09:41.053105+00:00
VIO-DET-0067,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-013,EVT-00256,,2026-02-11T20:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0068,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-013,EVT-00259,,2026-02-12T06:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
VIO-DET-0069,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-011,EVT-00224,,2026-02-12T12:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.053105+00:00
STAT-0009,DG07,Negotiation Auditability,Traceability,Statistical,BOM-PO-NTS-2026-002,EVT-00029,,2026-02-12T19:00:00Z,,Medium,Intervention Package,ValidateBOM version=v1.2 without ReturnOrderForRevision reason,Warning,2.0,2.0,2.0,2026-06-14T17:09:41.053105+00:00
VIO-DET-0070,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-016,EVT-00312,,2026-02-13T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0071,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-002,EVT-00031,,2026-02-13T03:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0072,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-008,EVT-00152,,2026-02-13T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0073,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-015,EVT-00293,,2026-02-13T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0074,DG09,Rework Justification,Quality,Deterministic,BOM-PO-NTS-2026-008,EVT-00153,,2026-02-13T10:00:00Z,,High,Hard Stop,ValidateBOM status=Incomplete (no documented justification),,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0075,DG09,Rework Justification,Quality,Deterministic,BOM-PO-NTS-2026-015,EVT-00294,,2026-02-13T10:00:00Z,,High,Hard Stop,ValidateBOM status=Incomplete (no documented justification),,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0076,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-002,EVT-00034,,2026-02-13T13:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
STAT-0010,DG03,Communication Traceability,Communication,Statistical,PO-NTS-2026-002,EVT-00034,,2026-02-13T13:00:00Z,,Medium,Intervention Package,Communication via WhatsApp (Zalo/WhatsApp); count=5,Warning,5.0,4.100000000000001,5.0,2026-06-14T17:09:41.054113+00:00
STAT-0011,DG05,Vendor Communication Traceability,Communication,Statistical,VQ-PO-NTS-2026-002,EVT-00034,,2026-02-13T13:00:00Z,,Medium,Intervention Package,Vendor quote via WhatsApp (non-ERP/CRM); count=2,Warning,2.0,2.0,2.0,2026-06-14T17:09:41.054113+00:00
VIO-DET-0077,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-014,EVT-00272,,2026-02-14T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0078,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-017,EVT-00333,,2026-02-14T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0079,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-012,EVT-00243,,2026-02-14T12:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0080,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-009,EVT-00186,,2026-02-14T19:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0081,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-014,EVT-00275,,2026-02-14T20:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0082,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-017,EVT-00336,,2026-02-14T20:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0083,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-019,EVT-00373,,2026-02-15T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
STAT-0012,DG10,Master Data Consistency,Version,Statistical,PO-NTS-2026-014,EVT-00277,,2026-02-15T03:00:00Z,,Medium,Intervention Package,"ReturnOrderForRevision reason contains naming mismatch: ""Product model name in vendor quotation does not match import declaration record""",Warning,1.0,1.0,1.0,2026-06-14T17:09:41.054113+00:00
VIO-DET-0084,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-017,EVT-00339,,2026-02-15T06:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0085,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-013,EVT-00262,,2026-02-15T12:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0086,DG01,Complete Information,Quality,Deterministic,PO-NTS-2026-018,EVT-00350,,2026-02-16T02:00:00Z,,High,Hard Stop,ReviewOrderInformation status=Incomplete,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0087,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-018,EVT-00350,,2026-02-16T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0088,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-002,EVT-00037,,2026-02-16T19:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
VIO-DET-0089,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-020,EVT-00392,,2026-02-17T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.054113+00:00
STAT-0013,DG07,Negotiation Auditability,Traceability,Statistical,BOM-PO-NTS-2026-015,EVT-00296,,2026-02-17T16:00:00Z,,Medium,Intervention Package,ValidateBOM version=v1.1 without ReturnOrderForRevision reason,Warning,2.0,2.0,2.0,2026-06-14T17:09:41.056289+00:00
VIO-DET-0090,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-005,EVT-00102,,2026-02-17T19:00:00Z,,Medium,Intervention Package,Department changed Logistics→Admin without reassignment doc,,,,,2026-06-14T17:09:41.056289+00:00
VIO-DET-0091,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-005,EVT-00103,,2026-02-17T21:00:00Z,,Medium,Intervention Package,Department changed Admin→PM without reassignment doc,,,,,2026-06-14T17:09:41.056289+00:00
VIO-DET-0092,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-015,EVT-00298,,2026-02-18T00:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.056289+00:00
VIO-DET-0093,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-015,EVT-00301,,2026-02-18T10:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.056289+00:00
